[18:39:41.065998990] (+0.000000052) frank-desktop kmem_cache_alloc: { cpu_id = 3 }, { call_site = 0xFFFFFFFF8120FF56, ptr = 0xFFFF8806E0C88000, bytes_req = 4096, bytes_alloc = 4096, gfp_flags = 208 }
[18:39:41.066000353] (+0.000001363) frank-desktop kmem_cache_alloc: { cpu_id = 3 }, { call_site = 0xFFFFFFFF8120FF56, ptr = 0xFFFF8806E0C88000, bytes_req = 4096, bytes_alloc = 4096, gfp_flags = 208 }
[18:39:41.066001178] (+0.000000825) frank-desktop kmem_cache_alloc: { cpu_id = 3 }, { call_site = 0xFFFFFFFF8120FF56, ptr = 0xFFFF8806E0C88000, bytes_req = 4096, bytes_alloc = 4096, gfp_flags = 208 }
[18:39:41.066002382] (+0.000001204) frank-desktop kmem_cache_alloc: { cpu_id = 3 }, { call_site = 0xFFFFFFFF8120FF56, ptr = 0xFFFF8806E0C88000, bytes_req = 4096, bytes_alloc = 4096, gfp_flags = 208 }
[18:39:41.066005256] (+0.000002874) frank-desktop kmem_cache_alloc: { cpu_id = 3 }, { call_site = 0xFFFFFFFF8120FF56, ptr = 0xFFFF8806E0C88000, bytes_req = 4096, bytes_alloc = 4096, gfp_flags = 208 }
[18:39:41.066005932] (+0.000000676) frank-desktop kmem_cache_alloc: { cpu_id = 3 }, { call_site = 0xFFFFFFFF8120FF56, ptr = 0xFFFF8806E0C88000, bytes_req = 4096, bytes_alloc = 4096, gfp_flags = 208 }
[18:39:41.066006567] (+0.000000635) frank-desktop kmem_cache_alloc: { cpu_id = 3 }, { call_site = 0xFFFFFFFF8120FF56, ptr = 0xFFFF8806E0C88000, bytes_req = 4096, bytes_alloc = 4096, gfp_flags = 208 }
[18:39:41.066007277] (+0.000000710) frank-desktop kmem_cache_alloc: { cpu_id = 3 }, { call_site = 0xFFFFFFFF8120FF56, ptr = 0xFFFF8806E0C88000, bytes_req = 4096, bytes_alloc = 4096, gfp_flags = 208 }
[18:39:41.066008433] (+0.000001156) frank-desktop kmem_cache_alloc: { cpu_id = 3 }, { call_site = 0xFFFFFFFF8120FF56, ptr = 0xFFFF8806E0C88000, bytes_req = 4096, bytes_alloc = 4096, gfp_flags = 208 }
[18:39:41.066009296] (+0.000000863) frank-desktop kmem_cache_alloc: { cpu_id = 3 }, { call_site = 0xFFFFFFFF8120FF56, ptr = 0xFFFF8806E0C88000, bytes_req = 4096, bytes_alloc = 4096, gfp_flags = 208 }
[18:39:41.066010416] (+0.000001120) frank-desktop kmem_cache_alloc: { cpu_id = 3 }, { call_site = 0xFFFFFFFF8120FF56, ptr = 0xFFFF8806E0C88000, bytes_req = 4096, bytes_alloc = 4096, gfp_flags = 208 }
